company_names,company_code,Dividend
Vedanta,VEDL.NS,18.37%
Hindustan Zinc,HINDZINC.NS,13.36%
Heidelbergcement India,HEIDELBERG.NS,7.05%
Tech Mahindra,TECHM.NS,5.96%
Coal India,COALINDIA.NS,5.70%
Sanofi India Limited,SANOFI.NS,5.55%
GAIL,GAIL.NS,5.44%
Tamil Nadu Newsprint and Papers Limited,TNPL.NS,5.15%
Accelya,ACCELYA.NS,4.91%
Indian Oil,IOC.NS,4.89%
Geojit Financial Services,GEOJITFSL.NS,4.65%
National Aluminum & Alloy,NATIONALUM.NS,4.49%
Powergrid Corporation of India,POWERGRID.NS,4.43%
Bank of Maharashtra,MAHABANK.NS,4.43%
Gulf Oil Lubricants,GULFOILLUB.NS,4.35%
PTC India,PTC.NS,4.33%
General Insurance Corporation of India,GICRE.NS,4.28%
Bharat Petroleum,BPCL.NS,4.28%
National Mineral Development Corporation,NMDC.NS,4.16%
HCL Technologies,HCLTECH.NS,4.03%
Oil & Natural Gas,ONGC.NS,3.92%
Petronet LNG,PETRONET.NS,3.89%
Kuantum Papers,KUANTUM.NS,3.88%
Piramal Enterprises,PEL.NS,3.70%
Redington India,REDINGTON.NS,3.58%
Indraprastha Gas,IGL.NS,3.41%
Rane Brake Lining,RBL.NS,3.40%
Gujarat Alkalies and Chemicals,GUJALKALI.NS,3.40%
Tide Water Oil,TIDEWATER.NS,3.35%
Bajaj Auto,BAJAJ-AUTO.NS,3.22%
Monte Carlo Fashions,MONTECARLO.NS,3.20%
Hindustan Petroleum,HINDPETRO.NS,3.19%
National Fertilizers,NFL.NS,3.18%
Gujarat Mineral Development,GMDCLTD.NS,3.18%
Chennai Petroleum,CHENNPETRO.NS,3.14%
MPS Limited,MPSLTD.NS,3.13%
Puravankara,PURVA.NS,3.08%
Shriram Transport Finance,SHRIRAMFIN.NS,3.05%
Power Finance Corp,PFC.NS,3.02%
RITES,RITES.NS,2.97%
Rashtriya Chemicals and Fertilizers,RCF.NS,2.89%
PTC Financial Services,PFS.NS,2.88%
Sun TV Network,SUNTV.NS,2.75%
Alembic Limited,ALEMBICLTD.NS,2.71%
Bayer Crop Science,BAYERCROP.NS,2.68%
GTPL Hathway,GTPL.NS,2.48%
India Motor Parts and Accessories,IMPAL.NS,2.46%
Siyaram Silk Mills,SIYSIL.NS,2.45%
Rural Electrification Corp,RECLTD.NS,2.42%
Tata Steel,TATASTEEL.NS,2.40%
Infosys,INFY,2.36%
I.g. Petrochemicals,IGPL.NS,2.35%
Orient Paper Mills,ORIENTPPR.NS,2.33%
NTPC Limited,NTPC.NS,2.32%
Edelweiss Financial Services,EDELWEISS.NS,2.30%
HEG,HEG.NS,2.23%
NHPC Limited,NHPC.NS,2.21%
PCBL Limited,PCBL.NS,2.21%
UPL,UPL.NS,2.21%
Chambal Fertilisers,CHAMBLFERT.NS,2.19%
Karnataka Bank,KTKBANK.NS,2.16%
Bank of Baroda,BANKBARODA.NS,2.16%
ITC,ITC.NS,2.15%
Canara Bank,CANBK.NS,2.14%
Indian Metals & Ferro Alloys,IMFA.NS,2.13%
Mahanagar Gas,MGL.NS,2.13%
Hudco,HUDCO.NS,2.13%
Southern Petrochemical Industries Corp,SPIC.NS,2.08%
Mphasis,MPHASIS.NS,2.06%
Union Bank of India,UNIONBANK.NS,2.05%
Ingersoll Rand India,INGERRAND.NS,2.01%
Gateway Distriparks,GATEWAY.NS,2.00%
Steel Authority of India,SAIL.NS,1.95%
Marico,MARICO.NS,1.91%
Emami,EMAMILTD.NS,1.88%
Aptech,APTECHT.NS,1.87%
"Sumitomo Chemical
India",SUMICHEM.NS,1.80%
Hindustan Unilever,HINDUNILVR.NS,1.79%
Indian Bank,INDIANB.NS,1.76%
Automotive Axles,AUTOAXLES.NS,1.74%
Tata Chemicals,TATACHEM.NS,1.70%
New India Assurance,NIACL.NS,1.69%
Sundaram Finance,SUNDARMHLD.NS,1.68%
West Coast Paper Mills,WSTCSTPAPR.NS,1.68%
Bajaj Holdings & Investment,BAJAJHLDNG.NS,1.67%
NLC India,NLCINDIA.NS,1.66%
Procter & Gamble India,PGHH.NS,1.65%
Vaibhav Global,VAIBHAVGBL.NS,1.62%
BOSCH India,BOSCHLTD.NS,1.62%
Colgate-Palmolive India,COLPAL.NS,1.61%
MSTC Limited,MSTCLTD.NS,1.61%
India Nippon Electricals,INDNIPPON.NS,1.59%
Rane Holdings,RANEHOLDIN.NS,1.59%
Sasken Technologies,SASKEN.NS,1.59%
Ashok Leyland,ASHOKLEY.NS,1.56%
Excel Industries,EXCELINDUS.NS,1.55%
Muthoot Finance,MUTHOOTFIN.NS,1.54%
Engineers India,ENGINERSIN.NS,1.54%
Oil India,OIL.NS,1.53%
State Bank of India,SBIN.NS,1.53%
Tata Consultancy Services,TCS.NS,1.52%
Britannia Industries,BRITANNIA.NS,1.51%
Hyderabad Industries Limited,HIL.NS,1.49%
Bank of India,BANKINDIA.NS,1.49%
Mangalore Chemicals and Fertilizers,MANGCHEFER.NS,1.49%
Indian Energy Exchange,IEX.NS,1.48%
SJVN,SJVN.NS,1.48%
MOIL,MOIL.NS,1.46%
East India Distilleries Parry,EIDPARRY.NS,1.45%
LIC Housing Finance,LICHSGFIN.NS,1.45%
Cyient,CYIENT.NS,1.42%
Graphite India,GRAPHITE.NS,1.38%
CARE's Ratings,CARERATING.NS,1.35%
Coforge,COFORGE.NS,1.34%
Dr. Reddy's,RDY,1.34%
Kalpataru Power Transmission,KALPATPOWR.NS,1.34%
Hero MotoCorp,HEROMOTOCO.NS,1.33%
Amara Raja Batteries,AMARAJABAT.NS,1.33%
Torrent Power,TORNTPOWER.NS,1.29%
Hindustan Aeronautics,HAL.NS,1.27%
Container Corporation of India,CONCOR.NS,1.27%
Gujarat Gas,GUJGASLTD.NS,1.26%
Apex Frozen Foods,APEX.NS,1.26%
HDFC Bank,HDB,1.25%
Rupa Company,RUPA.NS,1.25%
IDBI Bank,IDBI.NS,1.25%
Nestlé India,NESTLEIND.NS,1.23%
Mahindra Logistics,MAHLOG.NS,1.23%
TANLA,TANLA.NS,1.20%
IIFL Finance,IIFL.NS,1.20%
Kalyani Steels,KSL.NS,1.20%
Torrent Pharmaceuticals,TORNTPHARM.NS,1.18%
Multi Commodity Exchange,MCX.NS,1.17%
LTIMindtree,LTIM.NS,1.17%
Lumax Industries,LUMAXIND.NS,1.16%
Dr Lal PathLabs,LALPATHLAB.NS,1.16%
Nilkamal,NILKAMAL.NS,1.14%
Karur Vysya Bank,KARURVYSYA.NS,1.14%
Crompton Greaves Consumer Electricals,CROMPTON.NS,1.12%
Indian Railway Finance,IRFC.NS,1.11%
Tata Communications,TATACOMM.NS,1.11%
Cummins India,CUMMINSIND.NS,1.08%
South Indian Bank,SOUTHBANK.NS,1.07%
Dabur,DABUR.NS,1.05%
Delta Corp,DELTACORP.NS,1.04%
ESAB India,ESABINDIA.NS,1.02%
Vedant Fashions,MANYAVAR.NS,1.01%
Natco Pharma,NATCOPHARM.NS,1.00%
Cosmo First,COSMOFIRST.NS,0.99%
CRISIL,CRISIL.NS,0.99%
Trident,TRIDENT.NS,0.99%
Mahindra CIE,MAHINDCIE.NS,0.98%
Bata India,BATAINDIA.NS,0.98%
Bharat Electronics,BEL.NS,0.97%
India Glycols,INDIAGLYCO.NS,0.95%
Eicher Motors,EICHERMOT.NS,0.95%
IndusInd Bank,INDUSINDBK.NS,0.95%
Alkem Laboratories,ALKEM.NS,0.94%
SKF India,SKFINDIA.NS,0.94%
Asian Paints,ASIANPAINT.NS,0.94%
Gabriel India,GABRIEL.NS,0.94%
Zensar,ZENSARTECH.NS,0.94%
Mishra Dhatu Nigam,MIDHANI.NS,0.91%
Page Industries,PAGEIND.NS,0.91%
PDS Multinational,PDSL.NS,0.91%
CDSL,CDSL.NS,0.91%
Electrosteel Castings,ELECTCAST.NS,0.90%
Bajaj Finance,BAJFINANCE.NS,0.90%
Surya Roshni,SURYAROSNI.NS,0.90%
Jubilant Pharmova,JUBLPHARMA.NS,0.88%
Orient Cement,ORIENTCEM.NS,0.88%
Transport Corporation of India,TCI.NS,0.88%
Mahindra & Mahindra,M&M.NS,0.88%
Tata Coffee,TATACOFFEE.NS,0.87%
VRL Logistics,VRLLOG.NS,0.87%
Divis Laboratories,DIVISLAB.NS,0.87%
L&T Technology Services,LTTS.NS,0.87%
NACL Industries,NACLIND.NS,0.86%
Praj Industries,PRAJIND.NS,0.86%
Sterlite Technologies,STLTECH.NS,0.86%
Ambuja Cements,AMBUJACEM.NS,0.86%
DCM Shriram,DCMSHRIRAM.NS,0.85%
