company_names,company_code,earnings
Reliance Industries,RELIANCE.NS,$12.22 B
State Bank of India,SBIN.NS,$10.39 B
HDFC Bank,HDB,$9.24 B
Oil & Natural Gas,ONGC.NS,$9.18 B
Tata Consultancy Services,TCS.NS,$7.42 B
ICICI Bank,IBN,$5.68 B
Indian Oil,IOC.NS,$5.39 B
Life Insurance Corporation of India (LIC),LICI.NS,$4.91 B
Coal India,COALINDIA.NS,$4.67 B
Bharat Petroleum,BPCL.NS,$4.65 B
NTPC Limited,NTPC.NS,$4.57 B
Bajaj Finserv,BAJAJFINSV.NS,$4.48 B
Infosys,INFY,$4.04 B
Power Finance Corp,PFC.NS,$3.84 B
Vedanta,VEDL.NS,$3.51 B
Powergrid Corporation of India,POWERGRID.NS,$3.30 B
ITC,ITC.NS,$3.29 B
Hindustan Petroleum,HINDPETRO.NS,$2.96 B
Larsen & Toubro,LT.NS,$2.83 B
Kotak Mahindra Bank,KOTAKBANK.NS,$2.79 B
Tata Motors,TATAMOTORS.NS,$2.77 B
Mahindra & Mahindra,M&M.NS,$2.71 B
Axis Bank,AXISBANK.BO,$2.65 B
HCL Technologies,HCLTECH.NS,$2.46 B
Bank of Baroda,BANKBARODA.NS,$2.45 B
Union Bank of India,UNIONBANK.NS,$2.43 B
Canara Bank,CANBK.NS,$2.33 B
Bajaj Finance,BAJFINANCE.NS,$2.23 B
Adani Power,ADANIPOWER.NS,$2.22 B
Hindalco Industries,HINDALCO.NS,$2.01 B
Rural Electrification Corp,RECLTD.NS,$2.01 B
Wipro,WIT,$1.99 B
Maruti Suzuki India,MARUTI.NS,$1.90 B
JSW Steel,JSWSTEEL.NS,$1.89 B
Bharti Airtel,BHARTIARTL.NS,$1.80 B
Hindustan Unilever,HINDUNILVR.NS,$1.72 B
Grasim Industries,GRASIM.NS,$1.59 B
Hindustan Zinc,HINDZINC.NS,$1.44 B
IndusInd Bank,INDUSINDBK.NS,$1.40 B
Adani Ports & SEZ,ADANIPORTS.NS,$1.39 B
InterGlobe Aviation,INDIGO.NS,$1.35 B
Indian Railway Finance,IRFC.NS,$1.35 B
Punjab National Bank,PNB.NS,$1.33 B
