company_names,company_code,market_cap
Reliance Industries,RELIANCE.NS,$240.24 B
Tata Consultancy Services,TCS.NS,$172.98 B
HDFC Bank,HDB,$147.96 B
ICICI Bank,IBN,$93.60 B
Bharti Airtel,BHARTIARTL.NS,$85.65 B
State Bank of India,SBIN.NS,$83.42 B
Infosys,INFY,$74.94 B
Life Insurance Corporation of India (LIC),LICI.NS,$74.12 B
ITC,ITC.NS,$65.45 B
Hindustan Unilever,HINDUNILVR.NS,$63.83 B
Larsen & Toubro,LT.NS,$62.43 B
Bajaj Finance,BAJFINANCE.NS,$53.59 B
HCL Technologies,HCLTECH.NS,$50.05 B
Maruti Suzuki India,MARUTI.NS,$47.84 B
Sun Pharmaceutical,SUNPHARMA.NS,$46.18 B
Tata Motors,TATAMOTORS.NS,$44.50 B
Adani Enterprises,ADANIENT.NS,$44.34 B
Kotak Mahindra Bank,KOTAKBANK.NS,$43.55 B
NTPC Limited,NTPC.NS,$42.17 B
Oil & Natural Gas,ONGC.NS,$41.07 B
Axis Bank,AXISBANK.BO,$40.26 B
Titan Company,TITAN.NS,$39.53 B
DMart,DMART.NS,$37.12 B
Adani Green Energy,ADANIGREEN.NS,$36.29 B
Adani Ports & SEZ,ADANIPORTS.NS,$35.15 B
UltraTech Cement,ULTRACEMCO.NS,$33.94 B
Coal India,COALINDIA.NS,$33.74 B
Asian Paints,ASIANPAINT.NS,$33.32 B
Bajaj Finserv,BAJAJFINSV.NS,$32.65 B
Powergrid Corporation of India,POWERGRID.NS,$31.62 B
Mahindra & Mahindra,M&M.NS,$30.97 B
Bajaj Auto,BAJAJ-AUTO.NS,$30.16 B
Nestlé India,NESTLEIND.NS,$29.24 B
Wipro,WIT,$29.06 B
Hindustan Aeronautics,HAL.NS,$28.61 B
Indian Oil,IOC.NS,$28.59 B
Adani Power,ADANIPOWER.NS,$28.59 B
Jio Financial Services,JIOFIN.NS,$28.24 B
DLF,DLF.NS,$27.07 B
JSW Steel,JSWSTEEL.NS,$25.83 B
Tata Steel,TATASTEEL.NS,$24.72 B
Siemens India,SIEMENS.NS,$23.85 B
Indian Railway Finance,IRFC.NS,$23.01 B
Varun Beverages,VBL.NS,$22.19 B
Zomato,ZOMATO.NS,$20.50 B
Hindustan Zinc,HINDZINC.NS,$20.34 B
Bharat Electronics,BEL.NS,$20.06 B
Grasim Industries,GRASIM.NS,$18.77 B
Pidilite,PIDILITIND.NS,$18.39 B
SBI Life Insurance,SBILIFE.NS,$18.06 B
Punjab National Bank,PNB.NS,$18.00 B
InterGlobe Aviation,INDIGO.NS,$17.57 B
LTIMindtree,LTIM.NS,$17.47 B
Trent Limited,TRENT.NS,$17.15 B
ABB India,ABB.NS,$16.88 B
Bank of Baroda,BANKBARODA.NS,$16.81 B
Tata Power,TATAPOWER.NS,$16.56 B
Hindalco Industries,HINDALCO.NS,$16.18 B
Power Finance Corp,PFC.NS,$16.13 B
Vedanta,VEDL.NS,$16.12 B
HDFC Life,HDFCLIFE.NS,$16.03 B
GAIL,GAIL.NS,$15.95 B
Bharat Petroleum,BPCL.NS,$15.69 B
Godrej,GODREJCP.NS,$15.09 B
Ambuja Cements,AMBUJACEM.NS,$14.91 B
Indian Overseas Bank,IOB.NS,$14.90 B
Tech Mahindra,TECHM.NS,$14.84 B
Lodha Group,LODHA.NS,$14.69 B
IndusInd Bank,INDUSINDBK.NS,$14.50 B
Adani Energy Solutions,ADANIENSOL.NS,$14.26 B
Eicher Motors,EICHERMOT.NS,$14.17 B
Rural Electrification Corp,RECLTD.NS,$14.16 B
