company_names,company_code,operating_margin
Rural Electrification Corp,RECLTD.NS,98.73%
JSW Holdings,JSWHL.NS,98.58%
Indian Energy Exchange,IEX.NS,98.56%
Bajaj Holdings & Investment,BAJAJHLDNG.NS,96.89%
Power Finance Corp,PFC.NS,95.97%
Alembic Limited,ALEMBICLTD.NS,88.66%
N.B.I. Industrial Finance,NBIFIN.NS,80.19%
SJVN,SJVN.NS,70.07%
CDSL,CDSL.NS,65.78%
Muthoot Finance,MUTHOOTFIN.NS,63.39%
Sun TV Network,SUNTV.NS,60.64%
Powergrid Corporation of India,POWERGRID.NS,60.13%
Repco Home Finance,REPCOHOME.NS,58.12%
LIC Housing Finance,LICHSGFIN.NS,57.82%
Bajaj Finance,BAJFINANCE.NS,57.74%
Phoenix Mills,PHOENIXLTD.NS,56.28%
Oberoi Realty,OBEROIRLTY.NS,53.04%
Indiabulls Housing Finance,IBULHSGFIN.NS,51.94%
Shriram Transport Finance,SHRIRAMFIN.NS,50.35%
HDFC Bank,HDB,49.75%
MapmyIndia,MAPMYINDIA.NS,49.48%
MMTC,MMTC.NS,49.37%
IIFL Finance,IIFL.NS,49.08%
Cholamandalam Investment and Finance,CHOLAFIN.NS,48.96%
NHPC Limited,NHPC.NS,48.79%
Suzlon,SUZLON.NS,48.62%
Sundaram Finance,SUNDARMHLD.NS,48.12%
Paisalo Digital,PAISALO.NS,46.68%
CARE's Ratings,CARERATING.NS,44.85%
EaseMyTrip,EASEMYTRIP.NS,44.75%
CSB Bank,CSBBANK.NS,44.46%
Hindustan Zinc,HINDZINC.NS,44.09%
Multi Commodity Exchange,MCX.NS,43.80%
National Mineral Development Corporation,NMDC.NS,43.70%
Adani Ports & SEZ,ADANIPORTS.NS,43.20%
Wonderla Holidays,WONDERLA.NS,42.44%
IndiaMART,INDIAMART.NS,42.37%
Federal Bank,FEDERALBNK.NS,42.23%
Vedant Fashions,MANYAVAR.NS,42.01%
Gujarat Mineral Development,GMDCLTD.NS,40.67%
City Union Bank,CUB.NS,40.06%
IndusInd Bank,INDUSINDBK.NS,39.54%
Punjab & Sind Bank,PSB.NS,39.24%
Aditya Birla Capital,ABCAPITAL.NS,39.22%
Adani Power,ADANIPOWER.NS,38.01%
Chalet Hotels,CHALET.NS,37.86%
KFin Technologies,KFINTECH.NS,37.40%
Bajaj Finserv,BAJAJFINSV.NS,37.21%
ITC,ITC.NS,36.88%
Godrej Properties,GODREJPROP.NS,36.74%
Indian Railway Catering & Tourism,IRCTC.NS,36.71%
BSE,BSE.NS,36.50%
ICICI Bank,IBN,36.03%
Accelya,ACCELYA.NS,35.83%
Kotak Mahindra Bank,KOTAKBANK.NS,35.78%
Bank of Baroda,BANKBARODA.NS,35.68%
Bank of Maharashtra,MAHABANK.NS,35.30%
IDBI Bank,IDBI.NS,34.96%
AU Small Finance Bank,AUBANK.NS,34.35%
Southern Petrochemical Industries Corp,SPIC.NS,33.75%
Oil India,OIL.NS,33.68%
Geojit Financial Services,GEOJITFSL.NS,33.46%
Puravankara,PURVA.NS,33.24%
Delta Corp,DELTACORP.NS,33.20%
Mishra Dhatu Nigam,MIDHANI.NS,31.29%
Karur Vysya Bank,KARURVYSYA.NS,31.24%
Axis Bank,AXISBANK.BO,30.97%
eMudhra,EMUDHRA.NS,30.85%
Divis Laboratories,DIVISLAB.NS,30.49%
MOIL,MOIL.NS,29.96%
Tata Elxsi,TATAELXSI.NS,29.81%
Spandana Sphoorty Financial,SPANDANA.NS,29.68%
State Bank of India,SBIN.NS,29.61%
Gujarat Fluorochemicals,FLUOROCHEM.NS,29.57%
Reliance Power,RPOWER.NS,29.55%
Union Bank of India,UNIONBANK.NS,29.38%
RITES,RITES.NS,29.18%
Coal India,COALINDIA.NS,29.13%
Prestige Group,PRESTIGE.NS,28.89%
HEG,HEG.NS,28.86%
Karnataka Bank,KTKBANK.NS,28.83%
Eicher Motors,EICHERMOT.NS,28.80%
Sanofi India Limited,SANOFI.NS,28.70%
Piramal Enterprises,PEL.NS,28.32%
Colgate-Palmolive India,COLPAL.NS,28.22%
Fine Organics,FINEORG.NS,27.96%
MPS Limited,MPSLTD.NS,27.80%
Sasken Technologies,SASKEN.NS,27.68%
Aether Industries,AETHER.NS,27.58%
PTC Financial Services,PFS.NS,27.53%
Aavas Financiers,AAVAS.NS,27.46%
Indian Hotels Company,INDHOTEL.NS,27.42%
Kaveri Seed,KSCL.NS,27.06%
DLF,DLF.NS,27.01%
JSW Energy,JSWENERGY.NS,26.97%
Canara Bank,CANBK.NS,26.53%
West Coast Paper Mills,WSTCSTPAPR.NS,26.40%
Indian Railway Finance,IRFC.NS,26.33%
CRISIL,CRISIL.NS,26.22%
Tata Consultancy Services,TCS.NS,25.79%
Gland Pharma,GLAND.NS,25.62%
Wendt India,WENDT.NS,25.54%
SBI Card,SBICARD.NS,25.46%
Abbott India,ABBOTINDIA.NS,25.42%
Mankind Pharma,MANKIND.NS,25.37%
GMR Group,GMRINFRA.NS,24.87%
Dr. Reddy's,RDY,24.69%
Hindustan Aeronautics,HAL.NS,24.38%
Max Healthcare Institute,MAXHEALTH.NS,24.06%
Godawari Power & Ispat,GPIL.NS,24.04%
Indian Bank,INDIANB.NS,23.99%
South Indian Bank,SOUTHBANK.NS,23.94%
Anant Raj,ANANTRAJ.NS,23.87%
PI Industries,PIIND.NS,23.37%
Bharat Dynamics,BDL.NS,23.36%
Happiest Minds Technologies,HAPPSTMNDS.NS,23.20%
Torrent Pharmaceuticals,TORNTPHARM.NS,22.91%
Bandhan Bank,BANDHANBNK.NS,22.74%
Hindustan Unilever,HINDUNILVR.NS,22.72%
Bharat Electronics,BEL.NS,22.62%
Bajaj Auto,BAJAJ-AUTO.NS,22.53%
Infosys,INFY,22.15%
Bank of India,BANKINDIA.NS,22.01%
EIH Limited,EIHOTEL.NS,21.97%
Cummins India,CUMMINSIND.NS,21.82%
Sun Pharmaceutical,SUNPHARMA.NS,21.62%
Greenpanel Industries,GREENPANEL.NS,21.58%
Emami,EMAMILTD.NS,21.24%
Natco Pharma,NATCOPHARM.NS,21.21%
Nestlé India,NESTLEIND.NS,20.98%
Gateway Distriparks,GATEWAY.NS,20.90%
Britannia Industries,BRITANNIA.NS,20.68%
NTPC Limited,NTPC.NS,20.37%
Kewal Kiran Clothing,KKCL.NS,20.36%
Dr Lal PathLabs,LALPATHLAB.NS,20.28%
Kitex Garments,KITEX.NS,20.00%
Hester Biosciences,HESTERBIO.NS,19.97%
Syngene International,SYNGENE.NS,19.96%
Hindustan Copper,HINDCOPPER.NS,19.88%
Jindal Poly Films,JINDALPOLY.NS,19.88%
Gujarat Alkalies and Chemicals,GUJALKALI.NS,19.83%
Dabur,DABUR.NS,19.75%
Knr Constructions,KNRCON.NS,19.70%
Cipla,CIPLA.NS,19.66%
Indian Overseas Bank,IOB.NS,19.50%
Grindwell Norton,GRINDWELL.NS,19.46%
Bayer Crop Science,BAYERCROP.NS,19.45%
IDFC FIRST Bank,IDFCFIRSTB.NS,19.38%
SRF Limited,SRF.NS,19.29%
Asahi India Glass,ASAHIINDIA.NS,19.13%
Bliss GVS Pharma,BLISSGVS.NS,19.10%
Container Corporation of India,CONCOR.NS,18.90%
"Sumitomo Chemical
India",SUMICHEM.NS,18.78%
Nucleus Software Exports,NUCLEUS.NS,18.75%
HCL Technologies,HCLTECH.NS,18.69%
Ingersoll Rand India,INGERRAND.NS,18.68%
Timken India,TIMKEN.NS,18.65%
Borosil,BORORENEW.NS,18.61%
Anup Engineering,ANUP.NS,18.60%
Tata Chemicals,TATACHEM.NS,18.46%
Procter & Gamble India,PGHH.NS,18.35%
Adani Green Energy,ADANIGREEN.NS,18.30%
Asian Paints,ASIANPAINT.NS,18.27%
Monte Carlo Fashions,MONTECARLO.NS,18.26%
Jagran Prakashan,JAGRAN.NS,18.20%
Nerolac Paints,KANSAINER.NS,18.08%
General Insurance Corporation of India,GICRE.NS,18.05%
RPG Life Sciences,RPGLIFE.NS,17.87%
Marico,MARICO.NS,17.85%
Wipro,WIT,17.77%
TANLA,TANLA.NS,17.69%
Mastek,MASTEK.NS,17.63%
Godrej,GODREJCP.NS,17.54%
Voltamp Transformers,VOLTAMP.NS,17.44%
Elgi Equipments,ELGIEQUIP.NS,17.43%
Mahindra Lifespaces,MAHLIFE.NS,17.41%
SKF India,SKFINDIA.NS,17.40%
LTIMindtree,LTIM.NS,17.30%
Coromandel,COROMANDEL.NS,17.30%
Schaeffler India,SCHAEFFLER.NS,17.17%
Cantabil Retail India,CANTABIL.NS,17.02%
Ratnamani Metals & Tubes,RATNAMANI.NS,17.00%
Mahanagar Gas,MGL.NS,16.75%
Varun Beverages,VBL.NS,16.68%
Hindustan Oil Exploration Company,HINDOILEXP.NS,16.65%
Adani Total Gas,ATGL.NS,16.65%
