company_names,company_code,p/e_ratio
HCL Technologies,HCLTECH.NS,1.20
Religare,RELIGARE.NS,2.29
Jain Irrigation Systems,JISLDVREQS.NS,2.40
Allcargo Logistics,ALLCARGO.NS,3.60
West Coast Paper Mills,WSTCSTPAPR.NS,4.09
Chennai Petroleum,CHENNPETRO.NS,4.59
IDFC,IDFC.NS,4.59
Bharat Petroleum,BPCL.NS,4.63
Karnataka Bank,KTKBANK.NS,5.28
Mangalore Chemicals and Fertilizers,MANGCHEFER.NS,5.62
Tamil Nadu Newsprint and Papers Limited,TNPL.NS,5.66
Southern Petrochemical Industries Corp,SPIC.NS,5.69
Kuantum Papers,KUANTUM.NS,5.70
Modern Dairies Limited,MODAIRY.BO,6.46
MMTC,MMTC.NS,6.62
Indiabulls Housing Finance,IBULHSGFIN.NS,6.89
South Indian Bank,SOUTHBANK.NS,6.97
Rajesh Exports,RAJESHEXPO.NS,7.21
Power Finance Corp,PFC.NS,7.26
Orient Paper Mills,ORIENTPPR.NS,7.29
Rain Industries,RAIN.NS,7.78
Canara Bank,CANBK.NS,7.91
Bank of Baroda,BANKBARODA.NS,7.93
General Insurance Corporation of India,GICRE.NS,7.95
Repco Home Finance,REPCOHOME.NS,8.11
Nestlé India,NESTLEIND.NS,8.16
Hindustan Petroleum,HINDPETRO.NS,8.19
Raymond,RAYMOND.NS,8.38
LIC Housing Finance,LICHSGFIN.NS,8.48
Union Bank of India,UNIONBANK.NS,8.61
Oil & Natural Gas,ONGC.NS,8.95
Jagran Prakashan,JAGRAN.NS,9.04
Cosmo First,COSMOFIRST.NS,9.05
Piramal Enterprises,PEL.NS,9.06
Oil India,OIL.NS,9.19
Rural Electrification Corp,RECLTD.NS,9.20
Federal Bank,FEDERALBNK.NS,9.26
Indian Bank,INDIANB.NS,9.45
Alembic Limited,ALEMBICLTD.NS,9.63
Aditya Birla Capital,ABCAPITAL.NS,9.66
IIFL Finance,IIFL.NS,9.71
Dhampur Sugar Mills,DHAMPURSUG.NS,9.86
I.g. Petrochemicals,IGPL.NS,9.91
Coal India,COALINDIA.NS,10.1
Indian Oil,IOC.NS,10.2
State Bank of India,SBIN.NS,10.2
Siyaram Silk Mills,SIYSIL.NS,10.4
Monte Carlo Fashions,MONTECARLO.NS,10.4
Rashtriya Chemicals and Fertilizers,RCF.NS,10.9
Hindustan Oil Exploration Company,HINDOILEXP.NS,11.2
Karur Vysya Bank,KARURVYSYA.NS,11.2
CSB Bank,CSBBANK.NS,11.2
Bandhan Bank,BANDHANBNK.NS,11.4
National Mineral Development Corporation,NMDC.NS,12.0
Delta Corp,DELTACORP.NS,12.0
Surya Roshni,SURYAROSNI.NS,12.1
Adani Power,ADANIPOWER.NS,12.1
Imagicaaworld Entertainment,IMAGICAA.NS,12.2
Kaveri Seed,KSCL.NS,12.3
City Union Bank,CUB.NS,12.4
Mahanagar Gas,MGL.NS,12.4
Vedanta,VEDL.NS,12.6
Gujarat Mineral Development,GMDCLTD.NS,12.7
PTC India,PTC.NS,12.7
Redington India,REDINGTON.NS,12.8
Bank of Maharashtra,MAHABANK.NS,12.9
Tata Chemicals,TATACHEM.NS,13.0
Petronet LNG,PETRONET.NS,13.0
Amara Raja Batteries,AMARAJABAT.NS,13.1
PTC Financial Services,PFS.NS,13.1
RBL Bank,RBLBANK.NS,13.1
Life Insurance Corporation of India (LIC),LICI.NS,13.5
Cantabil Retail India,CANTABIL.NS,13.5
Hinduja Global Solutions,HGS.NS,13.6
Sun TV Network,SUNTV.NS,13.6
East India Distilleries Parry,EIDPARRY.NS,14.1
Shriram Transport Finance,SHRIRAMFIN.NS,14.3
IndusInd Bank,INDUSINDBK.NS,14.3
Knr Constructions,KNRCON.NS,14.5
