company_names,company_code,market_cap
Reliance Industries,RELIANCE.NS,$235.50 B
Tata Consultancy Services,TCS.NS,$169.24 B
HDFC Bank,HDB,$138.64 B
ICICI Bank,IBN,$91.42 B
Bharti Airtel,BHARTIARTL.NS,$87.44 B
State Bank of India,SBIN.NS,$79.70 B
Infosys,INFY,$75.74 B
Life Insurance Corporation of India (LIC),LICI.NS,$68.56 B
ITC,ITC.NS,$64.00 B
Hindustan Unilever,HINDUNILVR.NS,$63.42 B
Larsen & Toubro,LT.NS,$59.48 B
HCL Technologies,HCLTECH.NS,$50.45 B
Bajaj Finance,BAJFINANCE.NS,$49.95 B
Maruti Suzuki India,MARUTI.NS,$46.39 B
Sun Pharmaceutical,SUNPHARMA.NS,$46.17 B
Tata Motors,TATAMOTORS.NS,$42.88 B
Adani Enterprises,ADANIENT.NS,$42.37 B
Kotak Mahindra Bank,KOTAKBANK.NS,$42.23 B
Oil & Natural Gas,ONGC.NS,$39.61 B
Titan Company,TITAN.NS,$39.35 B
Axis Bank,AXISBANK.BO,$38.16 B
NTPC Limited,NTPC.NS,$37.66 B
Adani Green Energy,ADANIGREEN.NS,$35.08 B
DMart,DMART.NS,$33.44 B
UltraTech Cement,ULTRACEMCO.NS,$33.37 B
Adani Ports & SEZ,ADANIPORTS.NS,$33.13 B
Asian Paints,ASIANPAINT.NS,$32.59 B
Coal India,COALINDIA.NS,$31.83 B
Powergrid Corporation of India,POWERGRID.NS,$30.67 B
Wipro,WIT,$30.62 B
Bajaj Auto,BAJAJ-AUTO.NS,$30.29 B
Bajaj Finserv,BAJAJFINSV.NS,$30.23 B
Nestlé India,NESTLEIND.NS,$29.67 B
Mahindra & Mahindra,M&M.NS,$27.94 B
Indian Oil,IOC.NS,$27.20 B
Jio Financial Services,JIOFIN.NS,$26.19 B
DLF,DLF.NS,$25.63 B
Hindustan Aeronautics,HAL.NS,$25.36 B
Adani Power,ADANIPOWER.NS,$24.49 B
JSW Steel,JSWSTEEL.NS,$24.03 B
Tata Steel,TATASTEEL.NS,$22.66 B
Indian Railway Finance,IRFC.NS,$22.03 B
Varun Beverages,VBL.NS,$21.79 B
Siemens India,SIEMENS.NS,$21.27 B
Zomato,ZOMATO.NS,$18.07 B
Grasim Industries,GRASIM.NS,$18.04 B
Pidilite,PIDILITIND.NS,$18.00 B
SBI Life Insurance,SBILIFE.NS,$18.00 B
LTIMindtree,LTIM.NS,$17.73 B
Bharat Electronics,BEL.NS,$17.26 B
Trent Limited,TRENT.NS,$16.78 B
Punjab National Bank,PNB.NS,$16.16 B
Bank of Baroda,BANKBARODA.NS,$16.07 B
HDFC Life,HDFCLIFE.NS,$16.05 B
Power Finance Corp,PFC.NS,$15.46 B
Bharat Petroleum,BPCL.NS,$15.33 B
InterGlobe Aviation,INDIGO.NS,$15.17 B
ABB India,ABB.NS,$15.12 B
Hindustan Zinc,HINDZINC.NS,$14.96 B
Godrej,GODREJCP.NS,$14.94 B
Tata Power,TATAPOWER.NS,$14.93 B
Tech Mahindra,TECHM.NS,$14.75 B
Hindalco Industries,HINDALCO.NS,$14.65 B
Rural Electrification Corp,RECLTD.NS,$14.49 B
Cipla,CIPLA.NS,$14.32 B
IndusInd Bank,INDUSINDBK.NS,$14.07 B
Britannia Industries,BRITANNIA.NS,$14.01 B
Ambuja Cements,AMBUJACEM.NS,$13.99 B
Lodha Group,LODHA.NS,$13.77 B
GAIL,GAIL.NS,$13.69 B
Adani Energy Solutions,ADANIENSOL.NS,$13.55 B
Union Bank of India,UNIONBANK.NS,$13.52 B
Indian Overseas Bank,IOB.NS,$13.46 B
Eicher Motors,EICHERMOT.NS,$13.06 B
Tata Consumer Products,TATACONSUM.NS,$12.79 B
Dr. Reddy's,RDY,$12.49 B
Canara Bank,CANBK.NS,$12.43 B
Adani Total Gas,ATGL.NS,$12.35 B
Vedanta,VEDL.NS,$12.04 B
Zydus Lifesciences,ZYDUSLIFE.NS,$12.03 B
Indian Hotels Company,INDHOTEL.NS,$11.81 B
TVS Motor,TVSMOTOR.NS,$11.66 B
Hero MotoCorp,HEROMOTOCO.NS,$11.20 B
Bajaj Holdings & Investment,BAJAJHLDNG.NS,$11.17 B
Dabur,DABUR.NS,$11.03 B
Havells India,HAVELLS.NS,$11.01 B
Apollo Hospitals,APOLLOHOSP.NS,$10.96 B
Shree Cement,SHREECEM.NS,$10.95 B
Cholamandalam Investment and Finance,CHOLAFIN.NS,$10.94 B
Divis Laboratories,DIVISLAB.NS,$10.89 B
BOSCH India,BOSCHLTD.NS,$10.64 B
Mankind Pharma,MANKIND.NS,$10.60 B
Shriram Transport Finance,SHRIRAMFIN.NS,$10.47 B
IDBI Bank,IDBI.NS,$10.46 B
Torrent Pharmaceuticals,TORNTPHARM.NS,$10.36 B
NHPC Limited,NHPC.NS,$10.21 B
Jindal Steel & Power,JINDALSTEL.NS,$10.16 B
JSW Energy,JSWENERGY.NS,$10.11 B
Solar Industries India,SOLARINDS.NS,$10.08 B
ICICI Prulife,ICICIPRULI.NS,$10.02 B
ICICI Lombard,ICICIGI.NS,$9.84 B
CG Power and Industrial Solutions,CGPOWER.NS,$9.79 B
Cummins India,CUMMINSIND.NS,$9.71 B
United Spirits,UNITDSPR.BO,$9.61 B
Samvardhana Motherson,MOTHERSON.NS,$9.42 B
SRF Limited,SRF.NS,$9.04 B
Indian Railway Catering & Tourism,IRCTC.NS,$8.88 B
Polycab India,POLYCAB.NS,$8.83 B
Colgate-Palmolive India,COLPAL.NS,$8.80 B
Lupin Limited,LUPIN.NS,$8.76 B
Indus Towers,INDUSTOWER.NS,$8.74 B
Tube Investments of India,TIINDIA.NS,$8.67 B
Max Healthcare Institute,MAXHEALTH.NS,$8.59 B
Yes Bank,YESBANK.NS,$8.22 B
Info Edge,NAUKRI.NS,$8.09 B
Hindustan Petroleum,HINDPETRO.NS,$8.03 B
SBI Card,SBICARD.NS,$8.00 B
Indian Bank,INDIANB.NS,$7.88 B
Berger Paints,BERGEPAINT.NS,$7.78 B
Vodafone Idea,IDEA.NS,$7.76 B
Marico,MARICO.NS,$7.69 B
Oil India,OIL.NS,$7.54 B
Godrej Properties,GODREJPROP.NS,$7.47 B
MakeMyTrip,MMYT,$7.45 B
Bank of India,BANKINDIA.NS,$7.39 B
Torrent Power,TORNTPOWER.NS,$7.37 B
Persistent Systems,PERSISTENT.NS,$7.24 B
Aurobindo Pharma,AUROPHARMA.NS,$7.14 B
National Mineral Development Corporation,NMDC.NS,$7.14 B
General Insurance Corporation of India,GICRE.NS,$7.03 B
Abbott India,ABBOTINDIA.NS,$6.88 B
PI Industries,PIIND.NS,$6.87 B
Alkem Laboratories,ALKEM.NS,$6.87 B
Muthoot Finance,MUTHOOTFIN.NS,$6.83 B
Jindal Stainless,JSL.NS,$6.82 B
L&T Technology Services,LTTS.NS,$6.79 B
Madras Rubber Factory,MRF.NS,$6.66 B
Linde India,LINDEINDIA.NS,$6.65 B
IDFC FIRST Bank,IDFCFIRSTB.NS,$6.60 B
Tata Communications,TATACOMM.NS,$6.55 B
Procter & Gamble India,PGHH.NS,$6.45 B
Steel Authority of India,SAIL.NS,$6.42 B
Container Corporation of India,CONCOR.NS,$6.32 B
Oberoi Realty,OBEROIRLTY.NS,$6.29 B
Bharat Forge,BHARATFORG.NS,$6.29 B
Astral Poly Technik,ASTRAL.NS,$6.22 B
PB Fintech,POLICYBZR.NS,$6.17 B
Central Bank of India,CENTRALBK.NS,$6.15 B
Suzlon,SUZLON.NS,$6.08 B
Patanjali Foods,PATANJALI.NS,$5.97 B
Supreme Industries,SUPREMEIND.NS,$5.97 B
Ashok Leyland,ASHOKLEY.NS,$5.85 B
SJVN,SJVN.NS,$5.77 B
Tata Elxsi,TATAELXSI.NS,$5.70 B
GMR Group,GMRINFRA.NS,$5.68 B
Nykaa,NYKAA.NS,$5.59 B
Schaeffler India,SCHAEFFLER.NS,$5.50 B
ACC,ACC.NS,$5.48 B
United Breweries,UBL.NS,$5.47 B
Phoenix Mills,PHOENIXLTD.NS,$5.44 B
Aditya Birla Capital,ABCAPITAL.NS,$5.44 B
Mphasis,MPHASIS.NS,$5.40 B
Prestige Group,PRESTIGE.NS,$5.27 B
Balkrishna Industries,BALKRISIND.NS,$5.26 B
Thermax,THERMAX.NS,$5.25 B
Adani Wilmar,AWL.NS,$5.21 B
Dixon Technologies,DIXON.NS,$5.12 B
Bank of Maharashtra,MAHABANK.NS,$5.07 B
APL Apollo,APLAPOLLO.NS,$5.04 B
Punjab & Sind Bank,PSB.NS,$4.82 B
Petronet LNG,PETRONET.NS,$4.65 B
Page Industries,PAGEIND.NS,$4.59 B
New India Assurance,NIACL.NS,$4.58 B
AU Small Finance Bank,AUBANK.NS,$4.51 B
KPIT Technologies,KPITTECH.NS,$4.49 B
UNO Minda,UNOMINDA.NS,$4.45 B
Dalmia Bharat,DALBHARAT.NS,$4.39 B
Hudco,HUDCO.NS,$4.38 B
CRISIL,CRISIL.NS,$4.37 B
Federal Bank,FEDERALBNK.NS,$4.35 B
Gujarat Gas,GUJGASLTD.NS,$4.35 B
AIA Engineering,AIAENG.NS,$4.28 B
UPL,UPL.NS,$4.21 B
Voltas,VOLTAS.NS,$4.21 B
3M India,3MINDIA.NS,$4.14 B
Gujarat Fluorochemicals,FLUOROCHEM.NS,$4.10 B
Coforge,COFORGE.NS,$4.09 B
Delhivery,DELHIVERY.NS,$4.09 B
Honeywell Automation India,HONAUT.NS,$3.95 B
LIC Housing Finance,LICHSGFIN.NS,$3.91 B
Max Financial Services,MFSL.NS,$3.89 B
JK Cement,JKCEMENT.NS,$3.79 B
Coromandel,COROMANDEL.NS,$3.75 B
Bharat Dynamics,BDL.NS,$3.69 B
Fortis Healthcare,FORTIS.NS,$3.65 B
Ipca Laboratories,IPCALAB.NS,$3.62 B
Biocon,BIOCON.NS,$3.60 B
Escorts Limited,ESCORTS.NS,$3.56 B
Jubilant FoodWorks,JUBLFOOD.NS,$3.56 B
BSE,BSE.NS,$3.56 B
Apollo Tyres,APOLLOTYRE.NS,$3.55 B
NLC India,NLCINDIA.NS,$3.55 B
Gland Pharma,GLAND.NS,$3.53 B
Deepak Nitrite,DEEPAKNTR.NS,$3.52 B
Bandhan Bank,BANDHANBNK.NS,$3.50 B
ZF Commercial Vehicle Control Systems India,ZFCVINDIA.NS,$3.48 B
Indraprastha Gas,IGL.NS,$3.45 B
